(('4d', 'Jd'), 0.47557239057239054)
(('4d', '8c'), 0.37834006734006725)
(('4d', '7c'), 0.41416835016835013)
(('4d', '9d'), 0.44462626262626254)
(('4d', 'Kd'), 0.5373636363636364)
(('4d', 'As'), 0.560983164983165)
(('4d', '7s'), 0.3858114478114477)
(('4d', '3h'), 0.3567205387205387)
(('4d', '6s'), 0.43492255892255893)
(('4d', '2d'), 0.3541616161616162)
(('4d', '3d'), 0.3527272727272727)
(('4d', '5d'), 0.41125252525252526)
(('4d', '6d'), 0.4164983164983165)
(('4d', '3c'), 0.3934781144781145)
(('4d', 'Jc'), 0.44224242424242416)
(('4d', '4h'), 0.5860134680134681)
(('4d', '5c'), 0.34318518518518515)
(('4d', 'Ts'), 0.4244309764309764)
(('4d', 'Kc'), 0.5497777777777778)
(('4d', 'Qh'), 0.48978114478114476)
(('4d', '8s'), 0.41661952861952856)
(('4d', 'Kh'), 0.5088989898989899)
(('4d', 'Tc'), 0.4452222222222222)
(('4d', 'Qd'), 0.5051952861952862)
(('8d', 'Th'), 0.5143434343434343)
(('8d', '6c'), 0.4368350168350168)
(('8d', 'Qs'), 0.5558451178451179)
(('8d', '3s'), 0.39346127946127935)
(('8d', 'Js'), 0.4794444444444444)
(('8d', 'Ac'), 0.5611043771043771)
(('8d', '7d'), 0.4808114478114478)
(('8d', '8h'), 0.6896094276094277)
(('8d', '2h'), 0.33670707070707057)
(('8d', '7h'), 0.425047138047138)
(('8d', '9s'), 0.4761548821548821)
(('8d', 'Td'), 0.5506801346801348)
(('8d', '2s'), 0.3257441077441076)
(('8d', 'Ah'), 0.6077306397306398)
(('8d', '4c'), 0.4119562289562289)
(('8d', '5h'), 0.4241380471380471)
(('8d', 'Ks'), 0.5685656565656566)
(('8d', 'Jh'), 0.5157979797979798)
(('8d', 'Ad'), 0.5882525252525252)
(('8d', '6h'), 0.4573535353535353)
(('8d', '9h'), 0.46779461279461276)
(('8d', '5s'), 0.4286430976430976)
(('8d', '4s'), 0.3732996632996632)
(('8d', 'Jd'), 0.5741111111111111)
(('8d', '8c'), 0.7234208754208755)
(('8d', '7c'), 0.42256902356902354)
(('8d', '9d'), 0.5197272727272727)
(('8d', 'Kd'), 0.5931043771043771)
(('8d', 'As'), 0.6065723905723907)
(('8d', '7s'), 0.4078686868686868)
(('8d', '3h'), 0.34315151515151504)
(('8d', '6s'), 0.4345353535353535)
(('8d', '2d'), 0.40068013468013464)
(('8d', '3d'), 0.43919191919191913)
(('8d', '5d'), 0.42890572390572385)
(('8d', '6d'), 0.44892929292929284)
(('8d', '3c'), 0.35688888888888876)
(('8d', 'Jc'), 0.5749023569023569)
